Player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,CP,Champs
Weiwei,8,5,3,62.50%,2.25,3.25,10.5,3.92,213,6,12,338,10.5k,295.7,76.10%,13.40%,17.80%,3,
Zika,8,5,3,62.50%,4.63,3.13,7.13,3.76,296.88,8.36,15.5,436,19.7k,553.7,70.10%,27.60%,22.90%,4,
Alvaro,5,1,4,20%,0.2,4.4,6.2,1.45,36.8,1.24,6.8,231,4.9k,165,65.30%,2%,13.50%,3,
Elyoya,5,1,4,20%,1.2,3.6,5.4,1.83,173.8,5.86,9.3,315,8k,268.9,67.30%,12.20%,18.40%,4,
Fresskowy,5,1,4,20%,3.6,4.2,1.8,1.29,260.2,8.77,11.9,401,20.5k,692.5,55.10%,36.70%,23.40%,4,
Myrwn,5,1,4,20%,2.2,3.6,2.2,1.22,213.4,7.19,10.5,353,12.7k,429.2,44.90%,22.40%,20.60%,4,
Supa,5,1,4,20%,2.6,4,3.8,1.6,278.8,9.4,12.2,411,18.9k,637.3,65.30%,26.50%,24%,4,
CarioK,4,0,4,0%,0.5,4.25,6,1.53,170,5.45,9.2,294,9.1k,290.5,66.70%,5.10%,17.60%,3,
dyNquedo,4,0,4,0%,3.5,3,3.75,2.42,265.75,8.52,12.1,389,18.1k,579.3,74.40%,35.90%,23.40%,3,
Kuri,4,0,4,0%,1,3.5,6,2,34.5,1.11,7,224,5.3k,170.6,71.80%,10.30%,13.40%,4,
TitaN,4,0,4,0%,1.75,3,3.75,1.83,298.5,9.57,12.1,387,14.6k,468.6,56.40%,17.90%,23.20%,4,
Wizer,4,0,4,0%,3,3.25,2.25,1.62,255.75,8.2,11.6,372,12.3k,394.5,53.80%,30.80%,22.40%,4,
Azhi,5,1,4,20%,2.2,3,4.8,2.33,257.2,7.63,12.1,360,17.6k,522,54.70%,17.20%,20.40%,5,
Betty,5,1,4,20%,4.4,2,4.4,4.4,337.4,10,15,444,26.3k,779.1,68.80%,34.40%,25.10%,4,
JunJia,5,1,4,20%,1.8,3.6,8,2.72,195.6,5.8,10.9,322,9.9k,292.2,76.60%,14.10%,18.20%,4,
Maple,5,1,4,20%,3.4,3.6,4.6,2.22,296.8,8.8,13.6,404,24k,711.6,62.50%,26.60%,22.90%,4,
Woody,5,1,4,20%,1,3.2,9.6,3.31,32,0.95,8,236,4.3k,126.2,82.80%,7.80%,13.40%,3,
Faker,8,7,1,87.50%,4.63,2.38,6.75,4.79,258.5,7.87,13.5,411,18.7k,568.5,68.40%,27.80%,21.10%,5,
Gumayusi,8,7,1,87.50%,4.63,1.25,6.75,9.1,341.63,10.4,15.9,484,23.1k,703.1,68.40%,27.80%,24.80%,6,
Keria,8,7,1,87.50%,0.75,1.75,12.38,7.5,38.75,1.18,8.7,266,7.6k,229.9,78.90%,4.50%,13.60%,6,
Oner,8,7,1,87.50%,2.75,1.88,10,6.8,210.88,6.42,12.2,370,12.1k,368.7,76.70%,16.50%,18.90%,6,
Zeus,8,7,1,87.50%,3.88,1.63,7.63,7.08,261.5,7.96,13.9,422,17.5k,532.5,69.20%,23.30%,21.60%,5,
APA,10,5,5,50%,3.5,3.2,4.2,2.41,286.8,8.65,13.7,414,20.2k,610.7,59.20%,26.90%,22.60%,5,
CoreJJ,10,5,5,50%,0.8,2.9,9.7,3.62,32.3,0.97,8.2,249,5.5k,167,80.80%,6.20%,13.60%,6,
Impact,10,5,5,50%,2.5,2.9,4.7,2.48,245.3,7.4,12.7,384,15.5k,467.1,55.40%,19.20%,21%,6,
